Bacteroides caccae,Bacteroides stercoris,Bacteroides eggerthii,Bacteroides uniformis,Bacteroides thetaiotaomicron,Bacteroides xylanisolvens,Bacteroides nordii,Bacteroides ovatus,Bacteroides fragilis,Bacteroides sp. DH3716P,Bacteroides sp. M10,Bacteroides sp. D2,Bacteroides sp. CACC 737,Bacteroides sp. A1C1,Bacteroides sp. HF-162,Bacteroides sp. ZJ-18,Bacteroides sp. PHL 2737,Bacteroides sp. BFG-637,Bacteroides helcogenes,uncultured Bacteroides sp.,Bacteroides salyersiae,Bacteroides intestinalis,Bacteroides cellulosilyticus,Bacteroides faecis,Bacteroides heparinolyticus,Bacteroides faecium,Bacteroides zoogleoformans,Bacteroides luhongzhouii,Bacteroides caecimuris,Bacteroides zhangwenhongii,Bacteroides humanifaecis,Bacteroides graminisolvens,Bacteroides finegoldii,Bacteroides coprosuis,Phocaeicola vulgatus,Phocaeicola dorei,Phocaeicola coprophilus,Phocaeicola salanitronis,Phocaeicola sartorii,Parabacteroides distasonis,Parabacteroides johnsonii,Parabacteroides goldsteinii,Parabacteroides chongii,Parabacteroides merdae,Parabacteroides faecis,Parabacteroides sp. CT06,Tannerella forsythia,Tannerella serpentiformis,Segatella copri,Segatella hominis,Segatella oris,Segatella bryantii,Segatella baroniae,Prevotella sp. Rep29,Prevotella sp. E13-17,Prevotella sp. E9-3,Prevotella sp. E15-22,Prevotella sp. oral taxon 475,Prevotella sp. E2-28,Prevotella sp. oral taxon 299,Prevotella melaninogenica,Prevotella dentalis,Prevotella communis,Prevotella intermedia,Prevotella denticola,Prevotella jejuni,Prevotella fusca,Prevotella multiformis,Prevotella bivia,Prevotella nigrescens,Prevotella herbatica,Prevotella corporis,Prevotella histicola,Prevotella veroralis,Prevotella scopos,Paraprevotella clara,Paraprevotella xylaniphila,Hoylesella buccalis,Hoylesella enoeca,Xylanibacter ruminicola,Pseudoprevotella muciniphila,Alistipes shahii,Alistipes megaguti,Alistipes onderdonkii,Alistipes senegalensis,Alistipes finegoldii,Alistipes communis,Alistipes indistinctus,uncultured Alistipes sp.,Alistipes dispar,Alistipes ihumii,Alistipes sp. dk3624,uncultured Acetobacteroides sp.,Odoribacter splanchnicus,Butyricimonas paravirosa,Butyricimonas faecalis,Butyricimonas faecihominis,Butyricimonas virosa,Muribaculum gordoncarteri,Muribaculum intestinale,Duncaniella dubosii,Sodaliphilus pleomorphus
246231,246548,194364,234753,124436,215259,38615,95482,42468,135759,3989,3746,7045,6283,2959,1320,43029,2399,16026,13866,13490,11279,12879,8846,8183,7149,6142,4584,4370,3469,14116,2044,2066,746,665881,142070,6332,4714,190,91759,16869,7809,4446,4650,1746,2215,691,231,25656,4704,1365,1334,653,1983,1572,1358,1331,1176,1062,651,3024,2303,2024,2411,1774,1414,1161,1300,889,1081,668,779,548,519,613,18153,1135,2151,994,1810,580,28271,4667,4009,3417,3799,3057,1739,1400,1356,710,490,166,51076,2136,1629,264,173,2375,390,369,686
142697,638141,25648,127340,20966,21435,294,44306,106776,5097,1268,1245,4110,9365,4406,75,0,0,416,452,18870,702,1103,4916,209,1456,419,810,866,476,5009,77,3004,16,430097,21100,1265,1062,108,68676,1154,182,432,50531,137,26686,23,128,9603,1747,382,577,219,684,363,321,363,405,214,163,698,1168,465,1080,885,226,249,753,603,298,140,603,148,665,174,47663,10721,881,366,340,200,11196,532,1943,1298,4325,1704,238,512,861,325,175,42,15843,63,860,257,321,195,147,295,297
80833,136420,6328,259790,24245,24760,289,65222,133208,6929,2591,3004,4295,10061,7409,202,2445,0,487,494,28541,311,1102,2890,350,1182,629,1264,1193,420,6084,54,945,26,684337,39520,800,1222,74,45646,499,218,628,19462,116,12924,36,193,14605,2589,570,798,171,959,518,459,470,550,329,252,886,1775,701,1375,1369,331,386,1191,938,448,233,857,206,915,269,61473,13820,1202,506,569,303,7859,435,1545,957,5756,1297,218,487,650,288,128,43,10060,57,739,468,943,338,231,327,409
355750,339600,14654,221069,100922,28661,379,66173,297737,8205,2498,2479,4150,10044,6861,184,2386,0,531,524,44198,608,1121,5817,370,3418,554,1359,1467,687,5921,66,1961,25,752940,55013,1048,1208,59,79052,1320,222,741,32881,320,42525,27,170,11310,2062,479,652,228,790,390,335,391,483,293,194,779,1492,532,1233,1140,272,320,981,634,429,162,681,175,621,180,16776,4117,955,445,443,250,27683,1001,4681,3051,18198,3379,476,1161,1532,605,293,44,33359,79,898,620,1110,269,205,441,371
101562,846186,33309,144853,20139,20467,327,84734,88525,7970,2921,3592,4479,11238,4355,85,2019,0,459,573,26538,943,1291,5853,243,1407,497,1326,1115,537,5369,79,3922,19,416744,28222,1549,1015,139,38822,696,220,505,32370,128,19293,18,160,11932,2267,433,711,132,858,430,414,430,482,278,185,781,1612,559,1144,1169,282,350,1001,678,301,160,823,210,688,191,61453,14005,943,409,475,229,10513,559,1827,1200,4011,1685,241,587,1017,326,170,48,15702,107,1060,306,283,218,202,285,349
4268,1092,562,7446,20573,14878,856,196373,25755,1873,4632,3483,356,1092,221,361,0,0,483,1063,3298,10120,838822,372284,209,663,91,1148,1222,1330,1293,152,3840,14,275080,157178,415,681,0,6477,1135,62341,830,411,1806,1066,28,38,193,35,23,216,0,17,17,31,0,14,16,0,91,47,28,182,42,11,0,18,20,58,0,28,15,68,0,151,113,44,35,22,11,10849,576,31283,1680,5042,6144,210,664,1133,179,2124,42,299,15,148,59,24,19,34,67,46
6329,1075,688,7722,15222,14766,925,299894,32423,1652,4583,3349,523,1108,243,183,0,0,721,1445,3997,13910,1125606,192717,212,905,115,1187,1246,1277,968,134,2316,40,130275,308645,328,791,0,8025,1009,86632,1084,663,2419,1514,48,54,278,44,22,236,0,22,34,42,0,20,35,21,112,70,40,239,53,42,22,30,12,102,23,21,0,60,0,195,169,49,51,51,20,16018,823,80772,2456,7178,5590,235,877,1632,250,3125,209,606,41,200,104,19,52,40,65,56
5988,1233,535,6213,23865,7957,734,194926,32439,1287,2010,1364,396,1473,382,397,0,0,494,983,3619,8044,646271,488794,196,654,133,603,1739,1070,1486,116,4112,44,249000,490008,638,686,0,10734,870,96433,1203,820,2391,4034,57,94,282,62,30,201,0,43,26,53,18,24,38,14,111,82,55,166,77,28,45,48,22,96,17,108,16,54,0,163,242,52,76,53,33,26820,1797,120229,4606,10661,14279,536,2008,2808,588,4213,226,947,29,243,108,59,63,76,114,129
3981,697,555,5263,16453,2654,697,109644,22215,579,553,299,403,967,265,335,0,0,521,944,3406,10088,806348,335446,209,464,79,248,916,656,798,103,2511,26,92077,537622,255,434,0,6969,462,53147,684,478,1328,1489,34,56,162,52,23,187,0,14,34,21,11,13,19,0,57,43,21,143,46,28,0,23,18,41,0,24,0,61,0,167,196,43,40,19,20,11392,843,38605,2354,3720,13493,235,983,1534,256,3918,124,825,13,160,88,25,49,32,47,40
3978,769,603,6475,11561,3054,887,158318,34410,580,681,393,549,1137,316,226,0,0,658,1107,3683,12527,992049,134201,204,580,122,342,895,541,705,127,1209,24,60626,651895,235,481,0,7705,519,81667,1009,706,2167,1294,38,37,169,37,22,221,0,24,29,48,0,12,18,11,63,56,31,209,39,20,0,17,0,40,0,25,0,56,0,153,185,49,30,20,17,28616,700,14279,1905,2725,12888,231,842,1374,232,3151,162,1046,17,168,94,18,41,37,106,50
